Transaction vs category,Transaction,Category
Belastingdienst - Taxes,Belastingdienst,Taxes
Tesco Breda - Groceries,Tesco Breda,Groceries
Monthly Apartment Rent - Housing,Monthly Apartment Rent,Housing
Vishandel Sier Amsterdam - Food,Vishandel Sier Amsterdam,Food
Selling Paintings - Income,Selling Paintings,Income
Spotify AB by Adyen - Entertainment,Spotify AB by Adyen,Entertainment
TK Maxx Amsterdam DA - Shopping,TK Maxx Amsterdam DA,Shopping
Consulting - Services,Consulting,Services
Aidsfonds - Charity,Aidsfonds,Charity
TLS BV Inz OV-Chipkaart - Transportation,TLS BV Inz OV-Chipkaart,Transportation
Etos Amsterdam - Health,Etos Amsterdam,Health
Beta Boulders AMS Amsterdam - Sports,Beta Boulders AMS Amsterdam,Sports
Salary - Income,Salary,Income
Bouldermuur BV Amsterdam - Sports,Bouldermuur BV Amsterdam,Sports
Birtat Restaurant Amsterdam - Dining,Birtat Restaurant Amsterdam,Dining
Freelancing - Income,Freelancing,Income
Tikkie - Payments,Tikkie,Payments
Blogging - Income,Blogging,Income
Taxi Utrecht - Transportation,Taxi Utrecht,Transportation
Apple Services - Technology,Apple Services,Technology
Amazon Lux - Shopping,Amazon Lux,Shopping
Classpass* Monthly - Fitness,Classpass* Monthly,Fitness
Audible UK AdblCo/Pymt GBR - Entertainment,Audible UK AdblCo/Pymt GBR,Entertainment
