Date,Name / Description,Expense/Income,Amount (USD),Transaction vs category,Transaction,Category
2023-12-30,McDonald's,Expense,9.96,McDonald's - Dining,McDonald's,Dining
2023-12-30,Safeway,Expense,17.53,Safeway - Grocery,Safeway,Grocery
2023-12-30,Monthly Apartment Rent,Expense,451.0,Monthly Apartment Rent - Housing,Monthly Apartment Rent,Housing
2023-12-30,Uber,Expense,12.46,Uber - Transportation,Uber,Transportation
2023-12-29,Selling Paintings,Income,13.63,Selling Paintings - Income,Selling Paintings,Income
2023-12-29,Spotify,Expense,12.19,Spotify - Entertainment,Spotify,Entertainment
2023-12-23,Macy’s,Expense,27.08,Macy’s - Shopping,Macy’s,Shopping
2023-12-22,Consulting,Income,541.57,Consulting - Services,Consulting,Services
2023-12-22,Aidsfonds,Expense,10.7,Aidsfonds - Donation,Aidsfonds,Donation
2023-12-20,Consulting,Income,2641.93,Consulting - Services,Consulting,Services
2023-12-19,CalTrain,Expense,18.9,CalTrain - Transportation,CalTrain,Transportation
2023-12-18,Kaiser Permanente,Expense,17.67,Kaiser Permanente - Healthcare,Kaiser Permanente,Healthcare
2023-12-18,Safeway,Expense,8.81,Safeway - Grocery,Safeway,Grocery
2023-12-18,Dick's Sporting Goods,Expense,6.94,Dick's Sporting Goods - Shopping,Dick's Sporting Goods,Shopping
2022-11-26,Salary,Income,14.36,Salary - Income,Salary,Income
2022-11-26,Disney World,Expense,19.27,Disney World - Entertainment,Disney World,Entertainment
2022-11-26,The Cheesecake Factory,Expense,24.71,The Cheesecake Factory - Dining,The Cheesecake Factory,Dining
2022-11-25,Safeway,Expense,17.35,Safeway - Grocery,Safeway,Grocery
2022-11-24,Freelancing,Income,2409.55,Freelancing - Income,Freelancing,Income
2022-11-19,Venmo,Expense,20.76,Venmo - Financial,Venmo,Financial
2022-10-25,Blogging,Income,4044.27,Blogging - Income,Blogging,Income
2022-10-24,Lyft,Expense,18.9,Lyft - Transportation,Lyft,Transportation
2022-10-23,Safeway,Expense,27.54,Safeway - Grocery,Safeway,Grocery
2022-10-22,Apple Services,Expense,41.25,Apple Services - Technology,Apple Services,Technology
2022-10-21,Safeway,Expense,22.8,Safeway - Grocery,Safeway,Grocery
2022-01-16,Amazon,Expense,24.11,Amazon - Shopping,Amazon,Shopping
2022-01-15,24 Hour Fitness Monthly,Expense,30.08,24 Hour Fitness Monthly - Fitness,24 Hour Fitness Monthly,Fitness
2022-01-14,Audible,Expense,11.0,Audible - Entertainment,Audible,Entertainment
